"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*"
47;"";"Rozmiar:select:1";"XL"
47;"";"Rozmiar:select:1";"XXL"
48;"";"Rozmiar:select:1";"M"
48;"";"Rozmiar:select:1";"L"
48;"";"Rozmiar:select:1";"XL"
48;"";"Rozmiar:select:1";"XXL"
49;"";"Rozmiar:select:1";"S"
49;"";"Rozmiar:select:1";"M"
49;"";"Rozmiar:select:1";"L"
49;"";"Rozmiar:select:1";"XL"
49;"";"Rozmiar:select:1";"XXL"
50;"";"Rozmiar:select:1";"S"
50;"";"Rozmiar:select:1";"M"
50;"";"Rozmiar:select:1";"L"
50;"";"Rozmiar:select:1";"XL"
50;"";"Rozmiar:select:1";"XXL"
51;"";"Rozmiar:select:1";"S"
51;"";"Rozmiar:select:1";"M"
51;"";"Rozmiar:select:1";"L"
51;"";"Rozmiar:select:1";"XL"
51;"";"Rozmiar:select:1";"XXL"
52;"";"Rozmiar:select:1";"S"
52;"";"Rozmiar:select:1";"M"
52;"";"Rozmiar:select:1";"L"
52;"";"Rozmiar:select:1";"XL"
52;"";"Rozmiar:select:1";"XXL"
53;"";"Rozmiar:select:1";"S"
53;"";"Rozmiar:select:1";"M"
53;"";"Rozmiar:select:1";"L"
53;"";"Rozmiar:select:1";"XL"
53;"";"Rozmiar:select:1";"XXL"
54;"";"Rozmiar:select:1";"S"
54;"";"Rozmiar:select:1";"M"
54;"";"Rozmiar:select:1";"L"
54;"";"Rozmiar:select:1";"XL"
54;"";"Rozmiar:select:1";"XXL"
55;"";"Rozmiar:select:1";"S"
55;"";"Rozmiar:select:1";"M"
55;"";"Rozmiar:select:1";"L"
55;"";"Rozmiar:select:1";"XL"
55;"";"Rozmiar:select:1";"XXL"
56;"";"Rozmiar:select:1";"S"
56;"";"Rozmiar:select:1";"M"
56;"";"Rozmiar:select:1";"L"
56;"";"Rozmiar:select:1";"XL"
56;"";"Rozmiar:select:1";"XXL"
57;"";"Rozmiar:select:1";"S"
57;"";"Rozmiar:select:1";"M"
57;"";"Rozmiar:select:1";"L"
57;"";"Rozmiar:select:1";"XL"
57;"";"Rozmiar:select:1";"XXL"
58;"";"Rozmiar:select:1";"S"
58;"";"Rozmiar:select:1";"M"
58;"";"Rozmiar:select:1";"L"
58;"";"Rozmiar:select:1";"XL"
58;"";"Rozmiar:select:1";"XXL"
59;"";"Rozmiar:select:1";"S"
59;"";"Rozmiar:select:1";"M"
59;"";"Rozmiar:select:1";"L"
59;"";"Rozmiar:select:1";"XL"
59;"";"Rozmiar:select:1";"XXL"
60;"";"Rozmiar:select:1";"S"
60;"";"Rozmiar:select:1";"M"
60;"";"Rozmiar:select:1";"L"
60;"";"Rozmiar:select:1";"XL"
60;"";"Rozmiar:select:1";"XXL"
60;"";"Rozmiar:select:1";"XXXL"
61;"";"Rozmiar:select:1";"S"
61;"";"Rozmiar:select:1";"M"
61;"";"Rozmiar:select:1";"L"
61;"";"Rozmiar:select:1";"XL"
61;"";"Rozmiar:select:1";"XXL"
61;"";"Rozmiar:select:1";"XXXL"
62;"";"Rozmiar:select:1";"S"
62;"";"Rozmiar:select:1";"M"
62;"";"Rozmiar:select:1";"L"
62;"";"Rozmiar:select:1";"XL"
62;"";"Rozmiar:select:1";"XXL"
62;"";"Rozmiar:select:1";"XXXL"
63;"";"Rozmiar:select:1";"S"
63;"";"Rozmiar:select:1";"M"
63;"";"Rozmiar:select:1";"L"
63;"";"Rozmiar:select:1";"XL"
63;"";"Rozmiar:select:1";"XXL"
63;"";"Rozmiar:select:1";"XXXL"
64;"";"Rozmiar:select:1";"S"
64;"";"Rozmiar:select:1";"M"
64;"";"Rozmiar:select:1";"L"
64;"";"Rozmiar:select:1";"XL"
64;"";"Rozmiar:select:1";"XXL"
64;"";"Rozmiar:select:1";"XXXL"
65;"";"Rozmiar:select:1";"S"
65;"";"Rozmiar:select:1";"M"
65;"";"Rozmiar:select:1";"L"
65;"";"Rozmiar:select:1";"XL"
65;"";"Rozmiar:select:1";"XXL"
65;"";"Rozmiar:select:1";"XXXL"
66;"";"Rozmiar:select:1";"S"
