"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)"
162;1;"Garnitur o kroju super slim w mikrowzór";"TataKobasa";"1599,90"
163;1;"Garnitur o kroju super slim w kratę";"TataKobasa";"1799,90"
164;1;"Garnitur o kroju slim w mikrowzór";"TataKobasa";"1599,90"
165;1;"Garnitur o kroju super slim";"TataKobasa";"1599,90"
166;1;"Garnitur o kroju slim fit w kratę";"TataKobasa";"1899,90"
167;1;"Garnitur o kroju super slim w mikrowzór";"TataKobasa";"1599,90"
168;1;"Garnitur o kroju super slim w kratę";"TataKobasa";"2499,90"
169;1;"Garnitur 3-częściowy o kroju super slim";"TataKobasa";"2199,90"
170;1;"Garnitur o kroju super slim";"TataKobasa";"1799,90"
171;1;"Garnitur o kroju super slim";"TataKobasa";"1599,90"
172;1;"Garnitur o kroju super slim";"TataKobasa";"1599,90"
173;1;"Garnitur o kroju super slim";"TataKobasa";"1799,90"
174;1;"Garnitur o kroju super slim w mikrowzór";"TataKobasa";"1699,90"
175;1;"Garnitur o kroju slim fit w kratę";"TataKobasa";"2399,90"
176;1;"Garnitur o kroju super slim";"TataKobasa";"1499,90"
177;1;"Garnitur 3-częściowy o kroju super slim";"TataKobasa";"2199,90"
178;1;"Garnitur o kroju super slim w mikrowzór";"TataKobasa";"1599,90"
179;1;"Garnitur o kroju super slim";"TataKobasa";"1799,90"
180;1;"MIX & MATCH - Spodnie super slim do garnituru";"TataKobasa";"549,90"
181;1;"MIX & MATCH - Klasyczna marynarka wełniana do garnituru";"TataKobasa";"949,90"
182;1;"MIX & MATCH - Klasyczne spodnie do garnituru";"TataKobasa";"549,90"
183;1;"Marynarka slim fit do garnituru";"TataKobasa";"1049,90"
184;1;"Klasyczna marynarka";"TataKobasa";"949,90"
185;1;"MIX & MATCH - Marynarka super slim do garnituru";"TataKobasa";"1049,90"
186;1;"MIX & MATCH - Spodnie super slim do garnituru";"TataKobasa";"549,90"
187;1;"MIX & MATCH - Marynarka slim fit do garnituru";"TataKobasa";"1049,90"
188;1;"MIX & MATCH - Spodnie slim fit do garnituru";"TataKobasa";"549,90"
189;1;"MIX & MATCH - Marynarka o kroju slim fit do garnituru";"TataKobasa";"1049,90"
190;1;"MIX & MATCH - Spodnie slim fit do garnituru";"TataKobasa";"549,90"
191;1;"MIX & MATCH - Marynarka super slim do garnituru";"TataKobasa";"1099,90"
192;1;"MIX & MATCH - Spodnie super slim do garnituru";"TataKobasa";"599,90"
193;1;"MIX & MATCH - Marynarka slim fit do garnituru";"TataKobasa";"999,90"
194;1;"MIX & MATCH - Spodnie slim fit do garnituru";"TataKobasa";"499,90"
195;1;"MIX & MATCH - Marynarka super slim do garnituru";"TataKobasa";"999,90"
196;1;"MIX & MATCH - Spodnie super slim do garnituru";"TataKobasa";"499,90"
197;1;"MIX & MATCH - Marynarka slim fit do garnituru";"TataKobasa";"1049,90"
198;1;"MIX & MATCH - Spodnie slim fit do garnituru";"TataKobasa";"549,90"
199;1;"MIX & MATCH - Marynarka super slim do garnituru";"TataKobasa";"1049,90"
200;1;"Kamizelka o kroju super slim w kratę";"TataKobasa";"499,90"
201;1;"Kamizelka";"TataKobasa";"349,90"
202;1;"Kamizelka";"TataKobasa";"349,90"
203;1;"Wełniana kamizelka w kratę";"TataKobasa";"399,90"
204;1;"Wełniana kamizelka w kratę";"TataKobasa";"399,90"
205;1;"Wełniana kamizelka";"TataKobasa";"399,90"
206;1;"Wełniana kamizelka w kratę";"TataKobasa";"399,90"
207;1;"Marynarka slim fit w kratę";"TataKobasa";"999,90"
208;1;"Marynarka o kroju super slim w mikrowzór";"TataKobasa";"899,90"
209;1;"Marynarka o kroju super slim w kratę";"TataKobasa";"899,90"
210;1;"Marynarka super slim w kratę";"TataKobasa";"1299,90"
211;1;"Marynarka o kroju super slim w pepitę";"TataKobasa";"1199,90"
212;1;"Marynarka o kroju super slim w kratę";"TataKobasa";"1299,90"
213;1;"Marynarka o kroju super slim w mikrowzór";"TataKobasa";"1199,90"
214;1;"Marynarka o kroju super slim w mikrowzór";"TataKobasa";"1199,90"
215;1;"Marynarka o kroju super slim w kratę";"TataKobasa";"899,90"
216;1;"Marynarka slim fit z melanżowej tkaniny";"TataKobasa";"899,90"
217;1;"Marynarka o kroju slim w kratę";"TataKobasa";"899,90"
218;1;"Marynarka o kroju super slim w kratę";"TataKobasa";"999,90"
219;1;"Marynarka o kroju slim fit w kratę";"TataKobasa";"999,90"
220;1;"Marynarka o kroju super slim w mikrowzór";"TataKobasa";"1199,90"
221;1;"Marynarka o kroju super slim w kratę";"TataKobasa";"899,90"
222;1;"Marynarka o kroju super slim w mikrowzór";"TataKobasa";"1299,90"
223;1;"Marynarka o kroju super slim w prążek";"TataKobasa";"899,90"
224;1;"Marynarka o kroju super slim w mikrowzór";"TataKobasa";"999,90"
225;1;"Marynarka o kroju slim fit w mikrowzór";"TataKobasa";"999,90"
226;1;"Marynarka o kroju super slim w kratę";"TataKobasa";"1299,90"
227;1;"Marynarka o kroju slim fit w kratę";"TataKobasa";"999,90"
228;1;"MIX & MATCH - Marynarka o kroju slim fit do garnituru";"TataKobasa";"1049,90"
229;1;"MIX & MATCH - Marynarka slim fit do garnituru";"TataKobasa";"1049,90"
230;1;"MIX & MATCH - Marynarka super slim do garnituru";"TataKobasa";"1049,90"
231;1;"MIX & MATCH - Marynarka slim fit do garnituru";"TataKobasa";"1049,90"
