"ID";"Aktywny (0 lub 1)";"Nazwa"
"0000XZ1753";1;"Skórzane trzewiki"
"0000XZ1754";1;"Skórzane trzewiki"
"0000XZ1752";1;"Zamszowe trzewiki"
"TEDYXZ2714";1;"Skórzane sztyblety"
"TEDYXZ2715";1;"Skórzane sztyblety"
"0000XZ2717";1;"Skórzane buty typu derby"
"0000XZ2716";1;"Skórzane buty typu derby"
"0000XZ2518";1;"Skórzane buty typu derby"
"0000XZ2516";1;"Skórzane buty typu derby"
"0000XZ2517";1;"Skórzane buty typu derby"
"0000XZ2506";1;"Skórzane buty typu derby"
"0000XZ8413";1;"Skórzane buty typu derby, klasyczne do garnituru"
"00TRXA6443";1;"Skórzane buty typu oxford, klasyczne do garnituru"
"0000XZ2164";1;"Skórzana teczka"
"0000XZ9928";1;"Teczka skórzana"
"0000XZ2163";1;"Skórzana teczka"
"0000XZ2079";1;"Skórzana torba"
"0000XA2833";1;"Torba skórzana"
"0000XZ8803";1;"Torba skórzana"
"0000XZ6617";1;"Torba skórzana"
"0000XA4924";1;"Torba skórzana"
"0000XA6386";1;"Torba skórzana"
"0000XZ8804";1;"Torba skórzana"
"0000XZ7759";1;"Walizka kabinowa"
"0000XA1158";1;"Legginsy bieliźniane"
"0000XA1574";1;"Koszulka bieliźniana"
"0000XZ1205";1;"Legginsy bieliźniane"
"0000XA1575";1;"Koszulka bieliźniana"
"0000XA5663";1;"Bokserki"
"0000XA5729";1;"Slipy"
"0000XA5666";1;"Slipy"
"0000XA5665";1;"Slipy"
"0000XZ1560";1;"Bransoleta"
"0000XZ1559";1;"Bransoleta"
"0000XZ2172";1;"Skórzana bransoleta"
"0000XZ2173";1;"Skórzana bransoleta"
"0000XZ1561";1;"Bransoleta z czarnego agatu"
"0000XZ1562";1;"Bransoleta z kamieni półszlachetnych"
"0000XZ1012";1;"Bransoleta"
"0000XZ1015";1;"Bransoleta"
"0000RZ1014";1;"Bransoleta z kamieni szlachetnych"
"0000XZ2654";1;"Czapka"
"0000XZ1508";1;"Czapka"
"0000XZ1509";1;"Czapka"
"0000XZ1652";1;"Wełniana czapka z domieszką kaszmiru"
"0000XZ1653";1;"Wełniana czapka z domieszką kaszmiru"
"0000XZ1616";1;"Kaszmirowa czapka"
"0000XZ1617";1;"Kaszmirowa czapka"
"0000XZ1637";1;"Wełniana czapka z dodatkiem poliamidu"
"0000XZ1640";1;"Wełniana czapka z dodatkiem poliamidu"
"0000XZ1638";1;"Wełniana czapka z dodatkiem poliamidu"
"0000XZ1628";1;"Bawełniana czapka"
"0000XZ1629";1;"Bawełniana czapka"
"0000XZ2653";1;"Czapka"
"0000XZ2655";1;"Czapka"
"0000XZ1677";1;"Czapka"
"0000XZ1678";1;"Czapka"
"0000XZ1679";1;"Czapka"
"0000XZ1680";1;"Czapka"
"0000XZ1774";1;"Kaszkiet"
"0000XZ1775";1;"Kaszkiet"
"0000XZ1510";1;"Czapka typu beanie"
"0000XZ1502";1;"Czapka typu beanie"
"0GG7XY2553";1;"VISTULA|PZPN - Jedwabny krawat z logo"
"0C07XY2536";1;"Jedwabny krawat w kropki"
"0C06XY2541";1;"Jedwabny krawat w mikrowzór"
"0G06XY2542";1;"Jedwabny krawat w mikrowzór"
"02U6XY2551";1;"Krawat z dzianiny strukturalnej"
"05U6XY2550";1;"Krawat z dzianiny strukturalnej"
"0GU6XY2552";1;"Krawat z dzianiny strukturalnej"
"0508XY2537";1;"Jedwabny krawat w kwiatowy wzór"
"0206XY2540";1;"Jedwabny krawat w mikrowzór"
"0G06XY2539";1;"Jedwabny krawat w mikrowzór"
"0207XY2519";1;"Jedwabny krawat w mikrowzór"
"0G07XY2518";1;"Jedwabny krawat w mikrowzór"
"0Z07XY2520";1;"Jedwabny krawat w mikrowzór"
"0206XY2516";1;"Jedwabny krawat we wzór paisley"
"0G06XY2515";1;"Jedwabny krawat we wzór paisley"
"0G06XY2517";1;"Jedwabny krawat we wzór paisley"
"0206XY2510";1;"Jedwabny krawat we wzór paisley"
"0G06XY2509";1;"Jedwabny krawat we wzór paisley"
"0M06XY2511";1;"Jedwabny krawat we wzór paisley"
"0207XY2535";1;"Jedwabny krawat w kropki"
"0G07XY2534";1;"Jedwabny krawat w geometryczny wzór"
"0G06XY2523";1;"Jedwabny krawat w geometryczny wzór"
"0206XY2524";1;"Jedwabny krawat w geometryczny wzór"
"0206XY2525";1;"Jedwabny krawat w kratę"
"0000XZ2646";1;"Jedwabna mucha w geometryczny wzór"
"0000XZ2647";1;"Jedwabna mucha w geometryczny wzór"
"0000XZ2648";1;"Jedwabna mucha w kratę"
"0000XZ2649";1;"Jedwabna mucha w kratę"
"0000XZ2650";1;"Jedwabna mucha we wzór paisley"
"0000XZ2651";1;"Jedwabna mucha we wzór paisley"
"0000XZ2652";1;"Jedwabna mucha we wzór paisley"
"0000XZ2523";1;"Jedwabna mucha we wzór paisley"
"0000XZ2524";1;"Jedwabna mucha we wzór paisley"
"0000XZ2527";1;"Jedwabna mucha w mikrowzór"
"0000XA6496";1;"Jedwabna mucha"
"0000XZ6739";1;"Jedwabna mucha"
"0000XA6495";1;"Jedwabna mucha"
"0000XZ8420";1;"Jedwabna mucha"
"0000XA6497";1;"Jedwabna mucha"
"0000XA6494";1;"Jedwabna mucha"
"0000XZ9498";1;"Jedwabna mucha"
"0000XZ9499";1;"Jedwabna mucha"
"0000XZ9497";1;"Jedwabna mucha"
"0000XZ6737";1;"Jedwabna mucha"
"0000XZ9496";1;"Jedwabna mucha"
"0000XZ6738";1;"Jedwabna mucha"
"0000XA5822";1;"Jedwabna mucha"
"0000XA3463";1;"Jedwabna mucha"
"0000XZ2566";1;"Pasek z plecionki"
"0000XZ2567";1;"Pasek z plecionki"
"0000XZ2560";1;"Pasek z plecionki"
"0000XZ2561";1;"Pasek z plecionki"
"0000XZ2613";1;"Skórzany pasek"
"0000XZ2558";1;"Skórzany pasek"
"0000XZ2559";1;"Skórzany pasek"
"0000XZ2552";1;"Skórzany pasek w diagonalny wzór"
"0000XZ2620";1;"Skórzany pasek"
"0000XZ2500";1;"Skórzany pasek"
"0000XZ2556";1;"Skórzany pasek"
"0000XZ2574";1;"Skórzany pasek"
"0000XZ2573";1;"Skórzany pasek"
"0000XZ2572";1;"Skórzany pasek"
"0000XZ2217";1;"Skórzany pasek"
"0000XZ2218";1;"Skórzany pasek"
"0000XZ2207";1;"Skórzany pasek"
"0000XZ2208";1;"Skórzany pasek"
"0000XZ2219";1;"Skórzany pasek"
"0000XZ2221";1;"Skórzany pasek"
"0000XZ9922";1;"Skórzany pasek"
"0000XZ9927";1;"Skórzany pasek"
"0000XZ9921";1;"VISTULA|PZPN - Skórzany pasek"
"0000XZ9924";1;"Dwustronny skórzany pasek"
"0100BX0112";1;"Perfumy Self"
"0050BX0108";1;"Perfumy Black"
"0050BX0112";1;"Perfumy 50ml"
"0050BX0110";1;"Perfumy 50ml"
"0000XZ2605";1;"Zestaw portfeli"
"0000XZ1607";1;"Skórzany portfel"
"0000XZ1606";1;"Skórzany portfel"
"0000XA5866";1;"Skórzany portfel"
"0000XA5870";1;"Skórzany portfel"
"0000XA5869";1;"Skórzany portfel"
"0000XA5865";1;"Skórzany portfel"
"0000XA5871";1;"Skórzany portfel"
"0000XA5867";1;"Skórzany portfel"
"0000XA7080";1;"Skórzany portfel"
"0000XA5868";1;"Skórzany portfel"
"0000XA5872";1;"Skórzany portfel"
"0000XZ0617";1;"Skórzany portfel"
"0000XZ0618";1;"Skórzany portfel"
"0000XZ2727";1;"VISTULA|PZPN - Jedwabna poszetka z logo"
"0000XZ2631";1;"Wełniana poszetka w geometryczny wzór"
"0000XZ2632";1;"Wełniana poszetka w geometryczny wzór"
"0000XZ2633";1;"Jedwabna poszetka w kwiatowy wzór"
"0000XZ2634";1;"Jedwabna poszetka w kwiatowy wzór"
"0000XZ2041";1;"Wzorzysta poszetka z jedwabiu"
"0000XZ2641";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2642";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2643";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2644";1;"Jedwabna poszetka w kwiatowy wzór"
"0000XZ2645";1;"Jedwabna poszetka w kwiatowy wzór"
"0000XZ2623";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2624";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2625";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2626";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2627";1;"Jedwabna poszetka we wzór paisley"
"0000XZ2637";1;"Jedwabna poszetka w geometryczny wzór"
"0000XZ2638";1;"Jedwabna poszetka w geometryczny wzór"
"0000XZ2639";1;"Jedwabna poszetka w geometryczny wzór"
"0000XZ2640";1;"Jedwabna poszetka w geometryczny wzór"
"0000XZ0521";1;"Jedwabna poszetka"
"0000XZ0523";1;"Jedwabna poszetka"
"0000XZ0573";1;"Wełniana poszetka"
"0000XZ0574";1;"Wełniana poszetka"
"0000XZ2658";1;"Skórzane rękawiczki"
"0000XZ2659";1;"Skórzane rękawiczki"
"0000XZ2660";1;"Skórzane rękawiczki"
"0000XZ2672";1;"Skórzane rękawiczki"
"0000XZ2673";1;"Skórzane rękawiczki"
"0000XZ2656";1;"Skórzane rękawiczki"
"0000XZ2657";1;"Skórzane rękawiczki"
"0000XZ1689";1;"Skórzane rękawiczki"
"0000XZ1690";1;"Skórzane rękawiczki"
"0000XZ1691";1;"Skórzane rękawiczki"
"0000XZ1692";1;"Skórzane rękawiczki"
"0000XZ1687";1;"Skórzane rękawiczki"
"0000XZ1688";1;"Skórzane rękawiczki"
"0000XZ2596";1;"Skarpety w jodełkę"
"0000XZ2597";1;"Skarpety w jodełkę"
"0000XZ2598";1;"Skarpety w jodełkę"
"0000XZ2617";1;"Skarpety we wzory"
"0000XZ2618";1;"Skarpety we wzory"
"0000XZ2619";1;"Skarpety we wzory"
"0000XZ2603";1;"Skarpety we wzory"
"0000XZ2604";1;"Skarpety we wzory"
"0000XZ2621";1;"Skarpety w kropki"
"0000XZ2599";1;"Skarpety w kropki"
"0000XZ2600";1;"Skarpety w kropki"
"0000XZ2602";1;"Skarpety we wzory"
"0000XZ2587";1;"Skarpety w kropki"
"0000XZ2588";1;"Skarpety w kropki"
"0000XZ2601";1;"Skarpety we wzory"
"0000XZ2590";1;"Skarpety w pepitę"
"0000XZ2592";1;"Skarpety w pepitę"
"0000XZ2591";1;"Skarpety w pepitę"
"0000XZ2129";1;"Skarpety we wzory"
"0000XZ1645";1;"Skarpety we wzory"
"0000XZ1646";1;"Skarpety we wzory"
"0000RZ1500";1;"Skarpety"
"0000RZ1501";1;"Skarpety"
